Name,Page URL,Category,Location,Phone Number,Email,Website URL
Harvest Coffee Shop ,https://www.facebook.com/HarvestCoffeeShop,Coffee shop,"3/53 Yanyula Drive, Darwin, NT, Australia, Northern Territory",+61 8 8927 3178,harvest.anula@gmail.com,harvestcoffeeshop.com
Beachside Coffee Shop ,https://www.facebook.com/Beachside21,Coffee shop,"3, Cowell street , Llanelli, United Kingdom",+44 1554 897362,Beachsidecoffeeshop2020@gmail.com,None
Cocomo Coffee Shop ,https://www.facebook.com/cocomocoffeeshop,Coffee shop,"Liverpool, United Kingdom",None,None,None
Coffee Shop ,https://www.facebook.com/profile.php?id=100066805926948,Local business,"Forest Avenue, Palo Alto, CA, United States, California",None,None,None
Grounded Coffee Shop ,https://www.facebook.com/GroundedCoffeeALX,Coffee shop,"6919 Telegraph Road, Alexandria, VA, United States, Virginia",+1 703-341-6612,cafecitoamore20@gmail.com,groundedcoffeeshop.com
Coffee Shop Designs ,https://www.facebook.com/CaffeineShopDesignsMD,Shopping & retail,None,None,coffee.shop.designs.2018@gmail.com,etsy.com/shop/CoffeeShopDesignsMD
LIFT Coffee Shop & Cafe' ,https://www.facebook.com/profile.php?id=100063594429225,Coffee shop,"218 W Broad St, Richmond, VA, United States, Virginia",+1 804-344-5438,stephanie@liftcoffeeshop.com,liftcoffeeshop.com
Espresso coffee shop + Training center ,https://www.facebook.com/profile.php?id=100067615953196,Coffee shop,"Thapagaun, Lalitpur, Nepal",+977 984-9361711,None,None
Cheno's Coffee Shop ,https://www.facebook.com/Chenoscoffeehousecastara,Coffee shop,"North side, Castara, Trinidad and Tobago",+1 868-704-7819,None,castaracoffeehouse.com
Bee Hooi Coffee Shop ,https://www.facebook.com/BeeHooiCoffeeShop,Coffee shop,"415, Jalan Burma, George Town, Malaysia",None,chng012017@gmail.com,None
Jaccs Coffee Shop ,https://www.facebook.com/jaccscoffee,Coffee shop,"Unit 2 and 3 bullpond lane, Dunstable, United Kingdom",+44 1582 600060,coffee@live.co.uk,jaccscoffee.co.uk
Elgars Coffee Shop ,https://www.facebook.com/www.elgarscoffeeshop.co.uk,Coffee shop,"16 Reindeer Court, Worcester, United Kingdom",+44 1905 726977,musty@elgarscoffeeshop.co.uk,elgarscoffeeshop.co.uk
Luna Coffee Shop ,https://www.facebook.com/luna29cafe,Coffee shop,"121 W 29th St, New York, NY, United States, New York",+1 347-413-4032,lunacoffeeshop@gmail.com,Lunacoffeeshop.com
Justins Coffee shop ,https://www.facebook.com/profile.php?id=100070132097615,Coffee shop,None,0303 6574316,None,None
Mama's Coffee Shop with Callie Domingues ,https://www.facebook.com/MamasCoffeeShop,Writer,None,None,contact@mamascoffeeshop.info,mamascoffeeshop.info
Perks Coffee Shop ,https://www.facebook.com/perkscoffeegb,Coffee shop,"1216 Main St, Great Bend, KS, United States, Kansas",+1 620-786-2334,None,PerksCoffeeShop.com
"White Coffee Shop, Sur ",https://www.facebook.com/whitecoffeshopsur,Coffee shop,"Sur, Oman, Sur, Oman",+968 9232 5485,whitecoffeeshopsur@gmail.com,instagram.com/whitecoffeshopsur
Coffee Shop ,https://www.facebook.com/profile.php?id=100070278760080,Website,None,None,None,None
The Coffee Shop ,https://www.facebook.com/profile.php?id=100068111539842,Coffee shop,"421 N Woodland Blvd, DeLand, FL, United States, Florida",+1 386-822-8780,None,stetson.edu/administration/dining-services/index.php
The Coffee Shop ,https://www.facebook.com/italiancoffeeshop,Coffee shop,"ambalangoda, Hikkaduwa, Sri Lanka",+94 76 658 5247,thecoffeeshophikka@gmail.com,tripadvisor.com/Restaurant_Review-g304134-d2676678-Reviews-The_Coffee_Shop-Hikkaduwa_Galle_District_Southern_Province.html
Richard's Coffee Shop ,https://www.facebook.com/RichardsCoffeeShopMilitaryMuseum,Coffee shop,"165 N Main St, Mooresville, NC, United States, North Carolina",+1 704-663-0488,info@welcomevets.com,WelcomeVets.com
Ground Up Coffee Shop ,https://www.facebook.com/GroundUpBury,Coffee shop,"8 Market Street, Bury, United Kingdom",+44 161 526 4089,None,None
Keren Restaurant and Coffee Shop ,https://www.facebook.com/profile.php?id=100054505327545,Ethiopian Restaurant,"1780 Florida Ave NW, Washington D.C., DC, United States, Washington, District of Columbia",+1 202-265-5764,None,None
KCC coffee shop ,https://www.facebook.com/KCCcoffee,Coffee shop,"Triangle Building, Dunster avenue 60 Main Rd, Fish Hoek, Cape Town, 7975 (we are next to pep store) , Fishhoek, South Africa",+27 81 244 6931,kudzai@kcccoffee.co.za,kcccoffee.co.za
C & T Coffee Shop ,https://www.facebook.com/128.co.uk,Coffee shop,"62 upper Craig , Stirling, United Kingdom",+44 7880 557896,teresa128@hotmail.co.uk,Teresa-coffee-shop.ueniweb.com
Sufi Coffee Shop and Cultural Center ,https://www.facebook.com/profile.php?id=100068554740038,Coffee shop,"815 W El Camino Real, Mountain View, CA, United States, California",+1 650-962-9923,suficoffeeshop@sbcglobal.net,Suficoffeeshop.org
Zizinia Coffee shop ,https://www.facebook.com/ZiziniaCoffee,Coffee shop,"النعيمية 2 شارع الشيخ خليفة بن زايد ، قرب جسر غلفا, Al Ajman, United Arab Emirates",+971 50 849 9579,None,None
Beans Coffee Shop ,https://www.facebook.com/BeansDU,Coffee shop,"2044 E Evans Ave, Denver, CO, United States, Colorado",+1 303-871-2126,beanscoffeeshop1864@gmail.com,daniels.du.edu/faculty-research/hospitality-management/beans-coffee-shop
Environment Coffee Shop ,https://www.facebook.com/EScoffeeshop,Coffee shop,"University of Waterloo, Waterloo, ON, Canada, Ontario",+1 519-650-4545,environmentcoffeeshop@gmail.com,ess.uwaterloo.ca/coffee-shop
Vivace coffee shop ,https://www.facebook.com/vivace.uae,Chocolate Shop,"Dubai gold sock , Dubai, United Arab Emirates",+971 55 544 4254,None,None
The Coffee Shop Northeast ,https://www.facebook.com/theCSne,Coffee shop,"2852 Johnson St NE, Minneapolis, MN, United States, Minnesota",+1 612-259-8478,info@thecoffeeshopne.com,thecoffeeshopne.wordpress.com
Poppies Coffee Shop ,https://www.facebook.com/poppiesdavyhulme,Coffee shop,"11-13 Davyhulme Circle, Urmston, Manchester, Manchester, United Kingdom",+44 161 747 5645,poppiesdavyhulme@gmail.com,None
